nsf_proposal_links_v0,researcher,pseudo_skills
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Ranjana Pathania,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Sanjoy Ghosh,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Saugata Hazra,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Shailly Tomar,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Shri Ram Yadav,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Soma Rohatgi,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Sachin Suresh Tiwari,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Jitin Singla,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Rajesh Kumar,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Akhil Upadhyay,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Arindam Biswas,"['application', 'area', 'building', 'capacity building', 'decade', 'demand', 'department', 'development', 'field', 'importance', 'india', 'institute', 'level', 'objective', 'professor', 'resource', 'system', 'year']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Avlokita Agrawal,"['application', 'area', 'building', 'capacity building', 'decade', 'demand', 'department', 'development', 'field', 'importance', 'india', 'institute', 'level', 'objective', 'professor', 'resource', 'system', 'year']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Gaurav Raheja,"['application', 'area', 'building', 'capacity building', 'decade', 'demand', 'department', 'development', 'field', 'importance', 'india', 'institute', 'level', 'objective', 'professor', 'resource', 'system', 'year']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Harshit Sosan Lakra,"['application', 'area', 'capacity building', 'department', 'importance', 'institute', 'objective', 'professor', 'resource', 'system']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Mahua Mukherjee,"['application', 'area', 'building', 'capacity building', 'decade', 'demand', 'department', 'development', 'field', 'importance', 'india', 'institute', 'level', 'objective', 'professor', 'resource', 'system', 'year']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Prabhjot Singh Chani,"['application', 'area', 'building', 'capacity building', 'decade', 'demand', 'department', 'development', 'field', 'importance', 'india', 'institute', 'level', 'objective', 'professor', 'resource', 'system', 'year']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,E Rajasekar,"['application', 'area', 'building', 'capacity building', 'decade', 'demand', 'department', 'development', 'field', 'importance', 'india', 'institute', 'level', 'objective', 'professor', 'resource', 'system', 'year']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Ram Sateesh Pasupuleti,"['application', 'area', 'building', 'capacity building', 'decade', 'demand', 'department', 'development', 'field', 'importance', 'india', 'institute', 'level', 'objective', 'professor', 'resource', 'system', 'year']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Saptarshi Kolay,"['application', 'area', 'building', 'capacity building', 'decade', 'demand', 'department', 'development', 'field', 'importance', 'india', 'institute', 'level', 'objective', 'professor', 'resource', 'system', 'year']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Shubhajit Sadhukhan,"['application', 'area', 'building', 'capacity building', 'decade', 'demand', 'department', 'development', 'field', 'importance', 'india', 'institute', 'level', 'objective', 'professor', 'resource', 'system', 'year']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Smriti Saraswat,"['application', 'area', 'building', 'capacity building', 'decade', 'demand', 'department', 'development', 'field', 'importance', 'india', 'institute', 'level', 'objective', 'professor', 'resource', 'system', 'year']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Sonal Atreya,"['application', 'area', 'building', 'capacity building', 'decade', 'demand', 'department', 'development', 'field', 'importance', 'india', 'institute', 'level', 'objective', 'professor', 'resource', 'system', 'year']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Tina Pujara,"['application', 'area', 'building', 'capacity building', 'decade', 'demand', 'department', 'development', 'field', 'importance', 'india', 'institute', 'level', 'objective', 'professor', 'resource', 'system', 'year']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Uttam Kumar Roy,"['application', 'area', 'building', 'capacity building', 'decade', 'demand', 'department', 'development', 'field', 'importance', 'india', 'institute', 'level', 'objective', 'professor', 'resource', 'system', 'year']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,V Devadas,"['application', 'area', 'building', 'capacity building', 'decade', 'demand', 'department', 'development', 'field', 'importance', 'india', 'institute', 'level', 'objective', 'professor', 'resource', 'system', 'year']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Jaydev Dabas,"['application', 'area', 'building', 'capacity building', 'decade', 'demand', 'department', 'development', 'field', 'importance', 'india', 'institute', 'level', 'objective', 'professor', 'resource', 'system', 'year']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Millie Pant,"['application', 'area', 'building', 'capacity building', 'decade', 'demand', 'department', 'development', 'field', 'importance', 'india', 'institute', 'level', 'objective', 'professor', 'resource', 'system', 'year']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Rajan Arora,"['application', 'area', 'building', 'capacity building', 'decade', 'demand', 'department', 'development', 'field', 'importance', 'india', 'institute', 'level', 'objective', 'professor', 'resource', 'system', 'year']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Ashwani Kumar Sharma,"['application', 'area', 'building', 'capacity building', 'decade', 'demand', 'department', 'development', 'field', 'importance', 'india', 'institute', 'level', 'objective', 'professor', 'resource', 'system', 'year']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Bijan Choudhury,"['application', 'area', 'building', 'capacity building', 'decade', 'demand', 'department', 'development', 'field', 'importance', 'india', 'institute', 'level', 'objective', 'professor', 'resource', 'system', 'year']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Debabrata Sircar,"['application', 'area', 'building', 'capacity building', 'decade', 'demand', 'department', 'development', 'field', 'importance', 'india', 'institute', 'level', 'objective', 'professor', 'resource', 'system', 'year']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Deepak Sharma,"['application', 'area', 'building', 'capacity building', 'decade', 'demand', 'department', 'development', 'field', 'importance', 'india', 'institute', 'level', 'objective', 'professor', 'resource', 'system', 'year']"
