,nsf_proposal_links_v1,skills
159,https://www.nsf.gov/pubs/2014/nsf14577/nsf14577.htm,"{'engineering', 'professional development', 'industry', 'development', 'science engineering'}"
160,https://www.nsf.gov/pubs/2014/nsf14545/nsf14545.htm,"{'chemistry', 'dynamic', 'modeling'}"
161,https://www.nsf.gov/pubs/2014/nsf14544/nsf14544.htm,"{'characterization evaluation', 'national science', 'production', 'science foundation', 'industrially relevant', 'environmental health', 'health safety', 'industry', 'health', 'nanomaterials', 'industry future', 'foundation nsf', 'year', 'nanotechnology', 'area', 'low cost'}"
162,https://www.nsf.gov/pubs/2014/nsf14531/nsf14531.htm,"{'engineering', 'science engineering'}"
163,https://www.nsf.gov/pubs/2014/nsf14529/nsf14529.htm,"{'national science', 'engineering', 'science foundation', 'computer information', 'information science', 'service', 'science engineering'}"
164,https://www.nsf.gov/pubs/2014/nsf14521/nsf14521.htm,"{'data driven', 'engineering', 'two year', 'science computer', 'computational science', 'year', 'area', 'management'}"
165,https://www.nsf.gov/pubs/2014/nsf14519/nsf14519.htm,{'computing information'}
166,https://www.nsf.gov/pubs/2014/nsf14516/nsf14516.htm,{'xps'}
167,https://www.nsf.gov/pubs/2014/nsf14514/nsf14514.htm,{'perception'}
168,https://www.nsf.gov/pubs/2014/nsf14504/nsf14504.htm,"{'theoretical foundation', 'computer science'}"
169,https://www.nsf.gov/pubs/2013/nsf13599/nsf13599.htm,"{'small business', 'development', 'business'}"
